"Key","SourceString"
"Customization.Modal.Delete.Warning","Это действие нельзя отменить."
"Customization.Modal.Conflict.Title","НЕСОВМЕСТИМОЕ СНАРЯЖЕНИЕ"
"Customization.Modal.Conflict.RaisedHoodQuestion","Надеть куртку с поднятым капюшоном?"
"Customization.Modal.Conflict.HeadgearQuestion","Надеть выбранный головной убор?"
"Customization.Modal.Conflict.HeadphonesQuestion","Надеть выбранные наушники?"
"Customization.Modal.Conflict.RemoveHeadgearAndHeadphones","Выбранные головной убор и наушники будут сняты."
"Customization.Modal.Conflict.RemoveHeadphones","Выбранные наушники будут сняты."
"Customization.Modal.Conflict.RemoveHeadgear","Выбранный головной убор будет снят."
"Customization.Modal.Conflict.RemoveHoodAndHeadphones","Куртка с поднятым капюшоном и рабочие наушники будут сняты."
"Customization.Modal.Conflict.RemoveWorkHeadphones","Рабочие наушники будут сняты."
"Customization.Modal.Conflict.RemoveRaisedHood","Куртка с поднятым капюшоном будет снята."
"Customization.Modal.Conflict.RemoveHoodAndHeadgear","Куртка с поднятым капюшоном и выбранный головной убор будут сняты."
"Customization.Modal.Random.Title","СЛУЧАЙНЫЙ ВНЕШНИЙ ВИД"
"Customization.Modal.Random.Body","Создать новый случайный образ?"
"Customization.Modal.Random.Warning","Текущий внешний вид персонажа будет заменён."
"Customization.Disabled.IncompatibleWatch","НЕСОВМЕСТИМО С ВЫБРАННЫМИ ЧАСАМИ"
"Customization.Disabled.RemoveGloves","СНИМИТЕ ПЕРЧАТКИ"
"Customization.Disabled.AssetNotVerified","EXACT ASSET IS NOT VERIFIED INTACT"
"Customization.Legacy.CategoriesTitle","КАТЕГОРИИ"
"Customization.Legacy.OptionsTitle","ВАРИАНТЫ"
"Customization.Legacy.ColorTitle","ЦВЕТ ОДЕЖДЫ"
"Customization.Legacy.Info","ИНФОРМАЦИЯ"
"Customization.Legacy.Poses","ПОЗЫ"
"Customization.Legacy.Settings","НАСТРОЙКИ"
"Customization.Legacy.EquipmentTitle","ЭКИПИРОВКА"
"Customization.Legacy.Slot","СЛОТ"
"Customization.Legacy.Variant","Вариант"
"Customization.Legacy.Worker","Рабочий"
"Customization.Legacy.WorkHelmet","Рабочий Каска"
"Customization.Legacy.Respirator","Рабочий Респиратор"
"Customization.Item.Beard.Beard_SKM_Beard","БОРОДА 01"
"Customization.Item.Beard.Beard_SKM_Beard_02","БОРОДА 02"
"Customization.Item.Beard.Beard_SKM_Beard_03","БОРОДА 03"
"Customization.Item.Beard.Beard_SKM_Beard_4","БОРОДА 04"
"Customization.Item.Beard.Beard_SKM_Beard_Long","ДЛИННАЯ БОРОДА 01"
"Customization.Item.Beard.Beard_SKM_Beard_Long_2","ДЛИННАЯ БОРОДА 02"
"Customization.Item.Beard.Beard_SKM_Moustache","УСЫ"
"Customization.Item.FaceMask.SKM_Respirator","РЕСПИРАТОР"
"Customization.Item.FaceMask.SKM_Respirator_Black","ЧЁРНЫЙ РЕСПИРАТОР"
"Customization.Item.FullOutfit.FullOutfit_ShirtJumpsuitBoots_1","СИНИЙ ЗАЩИТНЫЙ КОМБИНЕЗОН С БЕЛОЙ РУБАШКОЙ"
"Customization.Item.FullOutfit.FullOutfit_ShirtJumpsuitBoots_2","СИНИЙ ЗАЩИТНЫЙ КОМБИНЕЗОН С БЕЖЕВОЙ ОБУВЬЮ"
"Customization.Item.FullOutfit.FullOutfit_ShirtJumpsuitBoots_3","БЕЖЕВЫЙ ЗАЩИТНЫЙ КОМБИНЕЗОН С КРАСНОЙ РУБАШКОЙ"
"Customization.Item.FullOutfit.FullOutfit_ShirtJumpsuitBoots_4","ЧЁРНЫЙ ЗАЩИТНЫЙ КОМБИНЕЗОН С БЕЛОЙ РУБАШКОЙ"
"Customization.Item.FullOutfit.FullOutfit_ShirtJumpsuitBoots_5","ТЁМНО-СИНИЙ ЗАЩИТНЫЙ КОМБИНЕЗОН С КРАСНОЙ РУБАШКОЙ"
"Customization.Item.FullOutfit.FullOutfit_TshirtJumpsuitBoots_1","СИНИЙ ЗАЩИТНЫЙ КОМБИНЕЗОН С БЕЛОЙ ФУТБОЛКОЙ"
"Customization.Item.FullOutfit.FullOutfit_TshirtJumpsuitBoots_2","СИНИЙ ЗАЩИТНЫЙ КОМБИНЕЗОН С БЕЖЕВОЙ ФУТБОЛКОЙ"
"Customization.Item.FullOutfit.FullOutfit_TshirtJumpsuitBoots_3","БЕЖЕВЫЙ ЗАЩИТНЫЙ КОМБИНЕЗОН С СИНЕЙ ФУТБОЛКОЙ"
"Customization.Item.FullOutfit.FullOutfit_TshirtJumpsuitBoots_4","ЧЁРНЫЙ ЗАЩИТНЫЙ КОМБИНЕЗОН С БЕЛОЙ ФУТБОЛКОЙ"
"Customization.Item.FullOutfit.FullOutfit_TshirtJumpsuitBoots_5","ТЁМНО-СИНИЙ ЗАЩИТНЫЙ КОМБИНЕЗОН С КРАСНОЙ ФУТБОЛКОЙ"
"Customization.Item.FullOutfit.FullOutfit_WorkerShirtJumpsuit_1","СИНИЙ РАБОЧИЙ КОМБИНЕЗОН С БЕЛОЙ РУБАШКОЙ"
"Customization.Item.FullOutfit.FullOutfit_WorkerShirtJumpsuit_2","СИНИЙ РАБОЧИЙ КОМБИНЕЗОН С БЕЖЕВОЙ РУБАШКОЙ"
"Customization.Item.FullOutfit.FullOutfit_WorkerShirtJumpsuit_3","ЧЁРНЫЙ РАБОЧИЙ КОМБИНЕЗОН С БЕЛОЙ РУБАШКОЙ"
"Customization.Item.FullOutfit.FullOutfit_WorkerShirtJumpsuit_4","БЕЖЕВЫЙ РАБОЧИЙ КОМБИНЕЗОН С БЕЛОЙ РУБАШКОЙ"
"Customization.Item.FullOutfit.FullOutfit_WorkerShirtJumpsuit_5","ТЁМНО-СИНИЙ РАБОЧИЙ КОМБИНЕЗОН С КРАСНОЙ РУБАШКОЙ"
"Customization.Item.FullOutfit.FullOutfit_WorkerShirtPants_1","БЕЖЕВЫЙ РАБОЧИЙ КОМПЛЕКТ С БЕЛОЙ РУБАШКОЙ"
"Customization.Item.FullOutfit.FullOutfit_WorkerShirtPants_2","СЕРЫЙ РАБОЧИЙ КОМПЛЕКТ С КРАСНОЙ РУБАШКОЙ"
"Customization.Item.FullOutfit.FullOutfit_WorkerShirtPants_3","СИНИЙ РАБОЧИЙ КОМПЛЕКТ С БЕЛОЙ РУБАШКОЙ"
"Customization.Item.FullOutfit.FullOutfit_WorkerTshirtJumpsuit_1","ТЁМНО-СИНИЙ РАБОЧИЙ КОМБИНЕЗОН С БЕЛОЙ ФУТБОЛКОЙ"
"Customization.Item.FullOutfit.FullOutfit_WorkerTshirtJumpsuit_2","СИНИЙ РАБОЧИЙ КОМБИНЕЗОН С БЕЖЕВОЙ ФУТБОЛКОЙ"
"Customization.Item.FullOutfit.FullOutfit_WorkerTshirtJumpsuit_3","ЧЁРНЫЙ РАБОЧИЙ КОМБИНЕЗОН С БЕЛОЙ ФУТБОЛКОЙ"
"Customization.Item.FullOutfit.FullOutfit_WorkerTshirtJumpsuit_4","БЕЖЕВЫЙ РАБОЧИЙ КОМБИНЕЗОН С СИНЕЙ ФУТБОЛКОЙ"
"Customization.Item.FullOutfit.FullOutfit_WorkerTshirtJumpsuit_5","СИНИЙ РАБОЧИЙ КОМБИНЕЗОН С КРАСНОЙ ФУТБОЛКОЙ"
"Customization.Item.FullOutfit.FullOutfit_WorkerTshirtPants_1","ЗЕЛЁНЫЙ РАБОЧИЙ КОМПЛЕКТ С БЕЖЕВОЙ ФУТБОЛКОЙ"
"Customization.Item.FullOutfit.FullOutfit_WorkerTshirtPants_2","СЕРЫЙ РАБОЧИЙ КОМПЛЕКТ С БЕЛОЙ ФУТБОЛКОЙ"
"Customization.Item.FullOutfit.FullOutfit_WorkerTshirtPants_3","БЕЖЕВЫЙ РАБОЧИЙ КОМПЛЕКТ С СИНЕЙ ФУТБОЛКОЙ"
"Customization.Item.FullOutfit.FullOutfit_WorkerTshirtPants_4","СИНИЙ СИГНАЛЬНЫЙ КОМПЛЕКТ С КРАСНОЙ ФУТБОЛКОЙ"
"Customization.Item.FullOutfit.FullOutfit_WorkerTshirtPants_5","ЗЕЛЁНЫЙ РАБОЧИЙ КОМПЛЕКТ С БЕЖЕВОЙ ОБУВЬЮ"
"Customization.Item.FullOutfit.FullOutfit_WorkerTshirtPants_6","САЛАТОВЫЙ РАБОЧИЙ КОМПЛЕКТ С БЕЖЕВОЙ ФУТБОЛКОЙ"
"Customization.Item.FullOutfit.FullOutfit_WorkerTshirtPants_7","ОРАНЖЕВЫЙ РАБОЧИЙ КОМПЛЕКТ С ЧЁРНОЙ ФУТБОЛКОЙ"
"Customization.Item.Glasses.SKM_Glasses_Aviator","ОЧКИ АВИАТОР"
"Customization.Item.Glasses.SKM_Glasses_Aviator_Brown","АВИАТОР КОРИЧНЕВЫЕ"
"Customization.Item.Glasses.SKM_Glasses_Aviator_Gold","АВИАТОР ЗОЛОТЫЕ"
"Customization.Item.Glasses.SKM_Glasses_Classic","КЛАССИЧЕСКИЕ ОЧКИ"
"Customization.Item.Glasses.SKM_Glasses_SunGlass","СОЛНЦЕЗАЩИТНЫЕ ОЧКИ"
"Customization.Item.Glasses.SKM_Glasses_Worker_Orange","ЗАЩИТНЫЕ ОЧКИ ОРАНЖЕВЫЕ"
"Customization.Item.Glasses.SKM_Glasses_Worker_White","ЗАЩИТНЫЕ ОЧКИ БЕЛЫЕ"
"Customization.Item.Gloves.Gloves_Print_Gray","БЕЛЫЕ ПЕРЧАТКИ"
"Customization.Item.Gloves.Gloves_Print_Green","ЗЕЛЁНЫЕ ПЕРЧАТКИ"
"Customization.Item.Gloves.Gloves_Print_Orange","ОРАНЖЕВЫЕ ПЕРЧАТКИ"
"Customization.Item.Gloves.Gloves_Print_Yellow","ЖЁЛТЫЕ ПЕРЧАТКИ"
"Customization.Item.Hair.Hair_SKM_Hair_Back","ЗАЧЁС НАЗАД"
"Customization.Item.Hair.Hair_SKM_Hair_Long","ДЛИННЫЕ ВОЛОСЫ"
"Customization.Item.Hair.Hair_SKM_Hair_Mohawk","ИРОКЕЗ"
"Customization.Item.Hair.Hair_SKM_Hair_Short","КОРОТКИЕ ВОЛОСЫ"
"Customization.Item.Hair.Hair_SKM_Hair_Skin","БРИТАЯ ГОЛОВА"
"Customization.Item.Head.Type01","ТИП ГОЛОВЫ 01"
"Customization.Item.Head.Type02","ТИП ГОЛОВЫ 02"
"Customization.Item.Headgear.Cap_SKM_Cap_Bege","БЕЖЕВАЯ КЕПКА"
"Customization.Item.Headgear.Cap_SKM_Cap_Black","ЧЁРНАЯ КЕПКА"
"Customization.Item.Headgear.Cap_SKM_Cap_Blue","СИНЯЯ КЕПКА"
"Customization.Item.Headgear.Cap_SKM_Cap_Color","ДВУХЦВЕТНАЯ КЕПКА"
"Customization.Item.Headgear.Cap_SKM_Cap_Red","КРАСНАЯ КЕПКА"
"Customization.Item.Headgear.Cap_SKM_Cap_Street","УЛИЧНАЯ КЕПКА"
"Customization.Item.Headgear.Hat_Cowboy_SKM_Hat_Cowboy","ЧЁРНАЯ КОВБОЙСКАЯ ШЛЯПА"
"Customization.Item.Headgear.Hat_Farmer_SKM_Hat_Cowboy","КОВБОЙСКАЯ ШЛЯПА"
"Customization.Item.Headgear.Hat_Flat_SKM_Hat_Flat_Blue","СИНЯЯ ПЛОСКАЯ КЕПКА"
"Customization.Item.Headgear.Hat_Flat_SKM_Hat_Flat_Brown","КОРИЧНЕВАЯ ПЛОСКАЯ КЕПКА"
"Customization.Item.Headgear.Hat_Flat_SKM_Hat_Flat_Grey","СЕРАЯ ПЛОСКАЯ КЕПКА"
"Customization.Item.Headgear.Hat_Up_SKM_Hat_Up","ЧЁРНАЯ ШАПКА С ОТВОРОТОМ"
"Customization.Item.Headgear.Helmet_Worker_SKM_Helmet_Worker_Blue","СИНЯЯ РАБОЧАЯ КАСКА"
"Customization.Item.Headgear.Helmet_Worker_SKM_Helmet_Worker_Green","ЗЕЛЁНАЯ РАБОЧАЯ КАСКА"
"Customization.Item.Headgear.Helmet_Worker_SKM_Helmet_Worker_Orange","ОРАНЖЕВАЯ РАБОЧАЯ КАСКА"
"Customization.Item.Headgear.Helmet_Worker_SKM_Helmet_Worker_Red","КРАСНАЯ РАБОЧАЯ КАСКА"
"Customization.Item.Headgear.Helmet_Worker_SKM_Helmet_Worker_White","БЕЛАЯ РАБОЧАЯ КАСКА"
"Customization.Item.Headgear.Helmet_Worker_SKM_Helmet_Worker_Yellow","РАБОЧАЯ КАСКА"
"Customization.Item.Headgear.Warm_Hat_SKM_Warm_Hat_Bege","ТЁПЛАЯ ШАПКА"
"Customization.Item.Headgear.Warm_Hat_SKM_Warm_Hat_Black","ЧЁРНАЯ ТЁПЛАЯ ШАПКА"
"Customization.Item.Headgear.Warm_Hat_SKM_Warm_Hat_Gray","СЕРАЯ ТЁПЛАЯ ШАПКА"
"Customization.Item.Headgear.Warm_Hat_SKM_Warm_Hat_Green","ЗЕЛЁНАЯ ТЁПЛАЯ ШАПКА"
"Customization.Item.Headphones.SKM_Headph_Worker_Mic_Gr","ЗЕЛЁНАЯ ГАРНИТУРА"
"Customization.Item.Headphones.SKM_Headph_Worker_Mic_Orn","ОРАНЖЕВАЯ ГАРНИТУРА"
"Customization.Item.Headphones.SKM_Headph_Worker_Mic_Wht","БЕЛАЯ ГАРНИТУРА"
"Customization.Item.Headphones.SKM_Headph_Worker_Mic_Yel","ЖЁЛТАЯ ГАРНИТУРА"
"Customization.Item.Headphones.SKM_Headphones_Worker_Green","ЗЕЛЁНЫЕ РАБОЧИЕ НАУШНИКИ"
"Customization.Item.Headphones.SKM_Headphones_Worker_Green.CurrentSelection","ЗЕЛЁНЫЕ НАУШНИКИ"
"Customization.Item.Headphones.SKM_Headphones_Worker_Orange","ОРАНЖЕВЫЕ РАБОЧИЕ НАУШНИКИ"
"Customization.Item.Headphones.SKM_Headphones_Worker_Orange.CurrentSelection","ОРАНЖЕВЫЕ НАУШНИКИ"
"Customization.Item.Headphones.SKM_Headphones_Worker_White","БЕЛЫЕ РАБОЧИЕ НАУШНИКИ"
"Customization.Item.Headphones.SKM_Headphones_Worker_White.CurrentSelection","БЕЛЫЕ НАУШНИКИ"
"Customization.Item.Headphones.SKM_Headphones_Worker_Yellow","ЖЁЛТЫЕ РАБОЧИЕ НАУШНИКИ"
"Customization.Item.Headphones.SKM_Headphones_Worker_Yellow.CurrentSelection","ЖЁЛТЫЕ НАУШНИКИ"
"Customization.Item.HipAccessory.Hip_Bag_Bege","БЕЖЕВАЯ НАБЕДРЕННАЯ СУМКА"
"Customization.Item.HipAccessory.Hip_Bag_Black","ЧЁРНАЯ НАБЕДРЕННАЯ СУМКА"
"Customization.Item.HipAccessory.Hip_Bag_Green","ЗЕЛЁНАЯ НАБЕДРЕННАЯ СУМКА"
"Customization.Item.Legs.Legs_Jeans_Bege","БЕЖЕВЫЕ ДЖИНСЫ"
"Customization.Item.Legs.Legs_Jeans_Black","ЧЁРНЫЕ ДЖИНСЫ"
"Customization.Item.Legs.Legs_Jeans_Blue","СИНИЕ ДЖИНСЫ"
"Customization.Item.Legs.Legs_Jeans_Classic","КЛАССИЧЕСКИЕ ДЖИНСЫ"
"Customization.Item.Legs.Legs_Jeans_Turn","ДЖИНСЫ С ПОДВОРОТАМИ"
"Customization.Item.Legs.Legs_PantsWorker_Bege","БЕЖЕВЫЕ РАБОЧИЕ ШТАНЫ"
"Customization.Item.Legs.Legs_PantsWorker_Blue","СИНИЕ РАБОЧИЕ ШТАНЫ"
"Customization.Item.Legs.Legs_PantsWorker_Gray","СЕРЫЕ РАБОЧИЕ ШТАНЫ"
"Customization.Item.Legs.Legs_PantsWorker_Green","ЗЕЛЁНЫЕ РАБОЧИЕ ШТАНЫ"
"Customization.Item.Legs.Legs_PantsWorker_LightGreen","САЛАТОВЫЕ ЗАЩИТНЫЕ ШТАНЫ"
"Customization.Item.Legs.Legs_PantsWorker_Orange","ОРАНЖЕВЫЕ ЗАЩИТНЫЕ ШТАНЫ"
"Customization.Item.Torso.SKM_Jacket_M65_Bege","БЕЖЕВАЯ КУРТКА M65"
"Customization.Item.Torso.SKM_Jacket_M65_Black","ЧЁРНАЯ КУРТКА M65"
"Customization.Item.Torso.SKM_Jacket_M65_Green","ЗЕЛЁНАЯ КУРТКА M65"
"Customization.Item.Torso.SKM_Jacket_Worker_Bege","БЕЖЕВАЯ РАБОЧАЯ КУРТКА"
"Customization.Item.Torso.SKM_Jacket_Worker_Blue","СИНЯЯ РАБОЧАЯ КУРТКА"
"Customization.Item.Torso.SKM_Jacket_Worker_Gray","СЕРАЯ РАБОЧАЯ КУРТКА"
"Customization.Item.Torso.SKM_Jacket_Worker_Green","ЗЕЛЁНАЯ РАБОЧАЯ КУРТКА"
"Customization.Item.Torso.SKM_Jacket_Worker_Hood_1_Bege","БЕЖЕВАЯ РАБОЧАЯ КУРТКА С КАПЮШОНОМ"
"Customization.Item.Torso.SKM_Jacket_Worker_Hood_1_Blue","СИНЯЯ РАБОЧАЯ КУРТКА С КАПЮШОНОМ"
"Customization.Item.Torso.SKM_Jacket_Worker_Hood_1_Gray","СЕРАЯ РАБОЧАЯ КУРТКА С КАПЮШОНОМ"
"Customization.Item.Torso.SKM_Jacket_Worker_Hood_1_Green","ЗЕЛЁНАЯ РАБОЧАЯ КУРТКА С КАПЮШОНОМ"
"Customization.Item.Torso.SKM_Jacket_Worker_Hood_1_LightGr","САЛАТОВАЯ РАБОЧАЯ КУРТКА С КАПЮШОНОМ"
"Customization.Item.Torso.SKM_Jacket_Worker_Hood_1_Orange","ОРАНЖЕВАЯ РАБОЧАЯ КУРТКА С КАПЮШОНОМ"
"Customization.Item.Torso.SKM_Jacket_Worker_Hood_2_Bege","БЕЖЕВАЯ УТЕПЛЁННАЯ РАБОЧАЯ КУРТКА"
"Customization.Item.Torso.SKM_Jacket_Worker_Hood_2_Blue","СИНЯЯ УТЕПЛЁННАЯ РАБОЧАЯ КУРТКА"
"Customization.Item.Torso.SKM_Jacket_Worker_Hood_2_Gray","СЕРАЯ УТЕПЛЁННАЯ РАБОЧАЯ КУРТКА"
"Customization.Item.Torso.SKM_Jacket_Worker_Hood_2_Green","ЗЕЛЁНАЯ УТЕПЛЁННАЯ РАБОЧАЯ КУРТКА"
"Customization.Item.Torso.SKM_Jacket_Worker_Hood_2_LightGr","САЛАТОВАЯ УТЕПЛЁННАЯ РАБОЧАЯ КУРТКА"
"Customization.Item.Torso.SKM_Jacket_Worker_Hood_2_Orange","ОРАНЖЕВАЯ УТЕПЛЁННАЯ РАБОЧАЯ КУРТКА"
